EpRewMean,loss_pol_surr,EpLenMean,EpisodesSoFar,loss_vf_loss,loss_kl,ev_tdlam_before,TimestepsSoFar,TimeElapsed,EpThisIter,loss_pol_entpen,loss_ent
-3921123.833330816,-0.0033184434,2049.0,1452,78756540000.0,0.004007102,1.3828277587890625e-05,2958209,548.2394111156464,30,0.0,8.23555
-4531033.503967094,-0.0036541473,2049.0,1482,4954597400.0,0.0044758427,7.033348083496094e-06,3019679,559.7443432807922,30,0.0,8.230762
-4310125.899839874,-0.003978851,2049.0,1512,3876806100.0,0.004739559,-3.5762786865234375e-07,3081149,571.2740914821625,30,0.0,8.226333
-3906848.0653659496,-0.003268838,2049.0,1542,6079793700.0,0.0049058674,-4.76837158203125e-07,3142619,582.9782149791718,30,0.0,8.225936
-4019614.008222453,-0.003682681,2049.0,1572,7165562000.0,0.0048429985,2.2649765014648438e-06,3204089,594.6264972686768,30,0.0,8.214081
-3679139.730142255,-0.0036603508,2049.0,1602,1904863900000.0,0.0055174283,-2.384185791015625e-06,3265559,606.6721529960632,30,0.0,8.192844
-10559313.569630846,-0.0041724415,2049.0,1632,3782122000.0,0.005072429,-1.5974044799804688e-05,3327029,618.3808784484863,30,0.0,8.170655
-10200396.37394173,-0.0037403186,2049.0,1662,3797049900.0,0.0049665445,2.3424625396728516e-05,3388499,630.0211997032166,30,0.0,8.160213
-9998796.293998014,-0.004249587,2047.11,1693,3755910000.0,0.004672192,-5.4955482482910156e-05,3451829,641.6133658885956,31,0.0,8.152041
-2813528.719439131,-0.0039187814,2047.11,1723,3613251000.0,0.0040016603,-3.790855407714844e-05,3513299,653.268052816391,30,0.0,8.1465025
-2924776.6533750705,-0.003133818,2047.11,1753,4373651000.0,0.0048511247,5.036592483520508e-05,3574769,665.0475907325745,30,0.0,8.131054
-2903001.4588774936,-0.004214683,2049.0,1783,2764582700.0,0.005017932,1.3530254364013672e-05,3636239,676.7897646427155,30,0.0,8.133137
-3054103.6656004237,-0.0034561888,2049.0,1813,4620713500.0,0.004438026,4.845857620239258e-05,3697709,689.0801589488983,30,0.0,8.127122
-3089965.3150985064,-0.0039925617,2049.0,1843,4286024000.0,0.004550849,-1.430511474609375e-06,3759179,700.7938737869263,30,0.0,8.114303
-2909127.335812884,-0.003806237,2031.61,1874,3695728000.0,0.0045036175,-1.3113021850585938e-06,3820959,712.5310184955597,31,0.0,8.107024
-2972071.2558827293,-0.0041501727,2031.61,1904,3957063200.0,0.004664628,-7.271766662597656e-06,3882429,724.2152600288391,30,0.0,8.099978
-2724214.619562519,-0.0035586157,2031.61,1934,3807911200.0,0.004820252,3.0219554901123047e-05,3943899,736.2156362533569,30,0.0,8.091183
-2657857.4243376357,-0.0038267847,2049.0,1964,2014976900.0,0.0041842153,-2.2411346435546875e-05,4005369,748.0766189098358,30,0.0,8.079972
-2465593.366409537,-0.004040166,2032.24,1995,136568090000.0,0.0058431295,9.000301361083984e-06,4067212,760.0708882808685,31,0.0,8.064971
-3065410.8943965225,-0.0038832112,2032.24,2025,3948986000.0,0.004524038,-0.000640869140625,4128682,771.9216086864471,30,0.0,8.060214
-3035411.347437888,-0.004265624,2006.59,2057,5147901000.0,0.0041302764,5.602836608886719e-06,4191685,783.6625995635986,32,0.0,8.039554
-3368321.696637433,-0.0030833057,2023.35,2087,5049951700.0,0.0041679344,4.208087921142578e-05,4253155,795.6763830184937,30,0.0,8.033372
-3790870.4625573796,-0.003807403,2023.35,2117,4618242600.0,0.0037286303,1.1920928955078125e-06,4314625,807.6913554668427,30,0.0,8.037724
-3233785.6181401946,-0.0041600475,2039.91,2147,127188600000.0,0.0044645728,5.960464477539063e-08,4376095,819.5309510231018,30,0.0,8.037982
-4402239.088625137,-0.0038053403,2030.11,2178,19698698000.0,0.004575102,-1.6808509826660156e-05,4437725,831.7953655719757,31,0.0,8.03009
-3844111.7171869483,-0.0041331975,2030.11,2208,3864437500.0,0.0043061534,2.7418136596679688e-06,4499195,844.1701130867004,30,0.0,8.029799
-3748413.985477186,-0.0037559078,2030.11,2238,2488291600.0,0.003613238,7.569789886474609e-06,4560665,856.0732805728912,30,0.0,8.034252
-3346774.8378866585,-0.0035491632,2049.0,2268,110780790000.0,0.004187658,-3.5762786865234375e-07,4622135,868.0706539154053,30,0.0,8.043746
-3497008.731372344,-0.0041914177,2037.22,2299,3247199000.0,0.0041756183,-1.3113021850585938e-06,4684476,880.0451412200928,31,0.0,8.04242
-3637545.6966178734,-0.003793521,2025.65,2329,5804156400.0,0.0041014645,2.7418136596679688e-06,4744789,892.1604526042938,30,0.0,8.034879
-3983122.050550966,-0.0043277363,2025.65,2359,4999376400.0,0.0039253063,2.384185791015625e-07,4806259,904.1194334030151,30,0.0,8.025313
-3109798.2413850813,-0.0039211153,2037.43,2389,4164928300.0,0.0044786474,1.150369644165039e-05,4867729,916.2661654949188,30,0.0,8.033508
-3093946.396312526,-0.0045300187,2019.11,2421,3390457300.0,0.0045957486,9.5367431640625e-07,4930308,928.2433292865753,32,0.0,8.035877
-2786711.8177221254,-0.0045361896,2001.86,2452,136812240000.0,0.004774312,-6.151199340820312e-05,4992102,940.4186789989471,31,0.0,8.030564
-3640812.6709120884,-0.0039013424,1969.53,2485,40223625000.0,0.0032988675,3.159046173095703e-06,5056486,952.6920003890991,33,0.0,8.024442
-3738976.000079242,-0.003948707,1980.41,2516,4816693000.0,0.0053656804,4.589557647705078e-06,5118104,964.8585448265076,31,0.0,8.018769
-3876954.3061069,-0.0036713118,1967.01,2547,3322676700.0,0.0049710553,0.0005709528923034668,5180283,977.2010536193848,31,0.0,8.001141
-2644614.2715787943,-0.0044341227,1984.26,2577,665864960000.0,0.0050562294,-3.0994415283203125e-06,5241753,989.5605850219727,30,0.0,7.990886
-6415723.629312813,-0.0041731885,2025.48,2609,310100130000.0,0.0043393034,-1.1920928955078125e-07,5306309,1001.8859398365021,32,0.0,7.9728694
-6196631.666372377,-0.0043075904,2038.88,2639,4112310800.0,0.0037048818,-9.5367431640625e-07,5367779,1014.1652121543884,30,0.0,7.9691463
-6164005.356812396,-0.0056521157,2013.4,2670,2851231000.0,0.004118167,0.00028884410858154297,5428750,1026.384120464325,31,0.0,7.966766
-2293673.9207823016,-0.004344182,1995.03,2701,2623523800.0,0.0036874334,-2.384185791015625e-07,5490104,1038.6093451976776,31,0.0,7.961395
-2231783.0797018246,-0.0052100657,1959.37,2733,985753400000.0,0.004843795,-1.1920928955078125e-07,5551422,1050.7277557849884,32,0.0,7.945785
-5959107.978188323,-0.0051123127,1984.85,2763,161284210000.0,0.0046428484,1.0907649993896484e-05,5612892,1063.2029120922089,30,0.0,7.946076
-6809963.911230921,-0.0053672967,1958.08,2795,39849402000.0,0.0049577644,-5.0067901611328125e-06,5675783,1075.387924194336,32,0.0,7.9494023
-7506359.833665299,-0.005133167,1984.85,2826,14266840000.0,0.0041915528,1.0132789611816406e-06,5737330,1087.6129474639893,31,0.0,7.937289
-3613884.6610337566,-0.005949348,1986.04,2857,4650407000.0,0.005458755,1.2218952178955078e-05,5799202,1100.0083010196686,31,0.0,7.9277773
-3253105.730823606,-0.00436518,1971.72,2890,11964429000.0,0.0046882336,1.9669532775878906e-06,5862710,1112.6308550834656,33,0.0,7.916061
-2868093.491415305,-0.0055674333,1974.81,2921,4323413000.0,0.0052447417,4.172325134277344e-06,5924682,1125.1527562141418,31,0.0,7.9204564
-3093053.823429754,-0.0048242933,1992.44,2951,4050961400.0,0.0053767175,3.5762786865234375e-07,5986152,1137.2989101409912,30,0.0,7.9177394
-2394834.549113596,-0.0052482327,1999.88,2981,1573743000.0,0.0046202014,-1.0609626770019531e-05,6047622,1149.6258697509766,30,0.0,7.9132953
-2122166.8091574716,-0.0053829607,1973.41,3014,34519220000.0,0.00449303,7.808208465576172e-06,6109227,1161.7367610931396,33,0.0,7.912624
-5426322.248829945,-0.0055735135,1988.88,3044,961383000000.0,0.005335756,-1.71661376953125e-05,6170697,1174.2722284793854,30,0.0,7.9002504
-7455707.211208447,-0.005569174,1934.16,3076,212662910000.0,0.0052214446,-3.5762786865234375e-07,6230793,1186.6825511455536,32,0.0,7.894653
-14963388.79227754,-0.00599422,1929.55,3109,2178067100000.0,0.006423444,0.00013709068298339844,6293291,1198.909581899643,33,0.0,7.888352
-14292320.827245846,-0.005385646,1932.49,3140,18545285000.0,0.004344044,2.562999725341797e-06,6355750,1211.4241528511047,31,0.0,7.8798785
-13359545.965259938,-0.005101809,1946.12,3172,4361542000.0,0.0042280476,9.953975677490234e-06,6419000,1223.825201511383,32,0.0,7.8876653
-4878758.419117597,-0.0060696127,1906.21,3209,2979303200.0,0.0047397674,0.0002213120460510254,6483912,1236.4077577590942,37,0.0,7.896073
-1802499.3469892002,-0.0063511254,1875.27,3242,32287623000.0,0.004429431,-0.0022922754287719727,6547375,1248.9825093746185,33,0.0,7.888049
-2030004.2153706346,-0.006413402,1881.11,3273,29736268000.0,0.0061386996,-2.193450927734375e-05,6609160,1262.056230545044,31,0.0,7.8808284
-1804136.8626811341,-0.006484006,1889.23,3308,1070321300.0,0.006233269,-0.00010883808135986328,6670786,1274.2922701835632,35,0.0,7.869145
-2445503.4788437975,-0.005433841,1833.25,3340,100300090000.0,0.0042369603,0.0001596212387084961,6727460,1286.6516451835632,32,0.0,7.8795314
-9845657.237120327,-0.0058484524,1772.33,3375,1871161700000.0,0.0041697407,1.2636184692382812e-05,6790491,1298.9204354286194,35,0.0,7.869679
-10431744.854343932,-0.005449757,1814.95,3408,689509560000.0,0.0049689054,-2.5272369384765625e-05,6852281,1311.4029359817505,33,0.0,7.863418
-14699396.364880707,-0.006024648,1811.81,3441,586346460000.0,0.0043756887,-0.0005517005920410156,6910690,1324.0577223300934,33,0.0,7.8470044
-8637742.996015014,-0.005256095,1836.92,3475,6645191000.0,0.00408008,-0.00030493736267089844,6974183,1336.465848684311,34,0.0,7.8363805
-8513696.87014184,-0.0059526702,1824.65,3507,186228970000.0,0.0062264903,7.271766662597656e-06,7032697,1349.116492986679,32,0.0,7.8368115
