EpisodesSoFar,TimeElapsed,loss_pol_surr,loss_ent,EpLenMean,loss_kl,loss_pol_entpen,TimestepsSoFar,loss_vf_loss,EpRewMean,ev_tdlam_before,EpThisIter
2538,3115.070200443268,-0.009913539,8.240391,1541.27,0.0091600595,0.0,4797109,285280730000.0,-971598.5632595336,-0.002171039581298828,50
2589,3168.3804335594177,-0.009900904,8.2458515,1577.06,0.008587641,0.0,4879537,623433350000.0,-5455661.241339128,5.960464477539063e-08,51
2647,3221.5438928604126,-0.008560764,8.246052,1536.71,0.0073982575,0.0,4966661,532934100000.0,-10333477.220587594,-5.602836608886719e-05,58
2698,3274.5258679389954,-0.009305547,8.240954,1511.75,0.009257028,0.0,5045250,146275500000.0,-8520858.461292708,-8.702278137207031e-06,51
2749,3327.8826611042023,-0.009266217,8.244175,1538.04,0.009517734,0.0,5123561,123233810000.0,-7436815.461134808,0.0,51
2805,3381.9125435352325,-0.009470686,8.245344,1495.39,0.0068308637,0.0,5206373,130483380000.0,-3899106.24287025,5.364418029785156e-07,56
2865,3435.524418592453,-0.008407326,8.241453,1392.76,0.008643944,0.0,5291382,54562513000.0,-2412400.899484986,0.0,60
2921,3489.2234835624695,-0.008715756,8.23012,1395.08,0.0077652573,0.0,5371883,7776272400.0,-1201547.4130865484,-1.0251998901367188e-05,56
2975,3542.7371020317078,-0.0052954056,8.237568,1458.84,0.010195796,0.0,5449636,2430644200.0,-1020635.0034661986,-0.00226438045501709,54
3036,3596.210687637329,-0.008057332,8.225384,1477.26,0.007570709,0.0,5537587,9208303000.0,-870034.7202620773,-8.821487426757812e-06,61
3097,3649.4924614429474,-0.0089049395,8.228535,1396.12,0.0060983426,0.0,5618950,362159470000.0,-2315662.192996556,-0.03906679153442383,61
3150,3702.466697692871,-0.009696132,8.226269,1469.33,0.01034299,0.0,5700522,1066251260.0,-3652831.355432364,-1.33514404296875e-05,53
3213,3756.164060115814,-0.009359235,8.222165,1354.86,0.007019335,0.0,5776392,1418792100000.0,-2025579.7058494985,1.919269561767578e-05,63
3273,3809.6968173980713,-0.009923285,8.219013,1391.01,0.006565386,0.0,5858757,71926100000.0,-9553719.305346426,-2.6226043701171875e-06,60
3326,3863.3810851573944,-0.007677011,8.21919,1445.96,0.008785572,0.0,5939497,106652730000.0,-5349023.702195096,3.0994415283203125e-06,53
