EpLenMean,loss_pol_surr,EpRewMean,TimeElapsed,ev_tdlam_before,loss_kl,loss_vf_loss,EpThisIter,loss_pol_entpen,TimestepsSoFar,loss_ent,EpisodesSoFar
1134.72,-0.008955468,-1781628.1016139751,5633.696640014648,0.0,0.008274539,220025140000.0,53,0.0,7587685,8.350862,5214
1055.48,-0.009796662,-2468153.050133406,5693.637689828873,-1.7523765563964844e-05,0.0077269096,144549920000.0,54,0.0,7650407,8.357769,5268
1184.7,-0.009560001,-2134506.2148357187,5754.356892585754,-1.1920928955078125e-06,0.008036747,396346460000.0,54,0.0,7715545,8.369279,5322
1215.77,-0.009707744,-3029393.981685954,5797.140988826752,-7.152557373046875e-07,0.008123381,65086816000.0,50,0.0,7777055,8.375122,5372
1167.59,-0.007958093,-4034420.0342234103,5840.417725801468,1.1920928955078125e-07,0.008435164,181539450000.0,56,0.0,7839140,8.3674965,5428
1038.48,-0.009873802,-3633434.641182754,5883.659451961517,0.0,0.0068811118,56920715000.0,61,0.0,7899154,8.365157,5489
1026.71,-0.010165397,-2223496.5777438832,5958.817829370499,5.960464477539063e-08,0.00859086,23351032000.0,61,0.0,7963374,8.370223,5550
999.02,-0.010462989,-1070564.2939862655,6002.553071022034,-1.9073486328125e-06,0.008030668,35463780000.0,59,0.0,8022417,8.373905,5609
922.22,-0.009259143,-1296271.0269226604,6045.765491247177,0.0,0.0070014843,810627400000.0,65,0.0,8081725,8.373263,5674
934.59,-0.008942164,-8278022.962589379,6089.1046760082245,1.1920928955078125e-07,0.007462149,1094654200000.0,60,0.0,8139336,8.374864,5734
1068.27,-0.009607101,-14298752.254775615,6133.03843331337,1.9073486328125e-06,0.006840941,942196060000.0,62,0.0,8203382,8.366639,5796
942.53,-0.009432259,-6680689.825531762,6176.0240824222565,-7.152557373046875e-07,0.0063734604,119571640000.0,75,0.0,8273313,8.376739,5871
822.23,-0.010410724,-737412.9550213974,6218.975873470306,-5.9604644775390625e-06,0.0056291125,14714613000.0,72,0.0,8327905,8.379441,5943
989.97,-0.009108363,-1259916.0002798059,6261.9429223537445,1.1920928955078125e-07,0.010328489,478351560000.0,57,0.0,8394093,8.377976,6000
942.12,-0.009008909,-6011413.865025691,6335.857967376709,-1.5497207641601562e-05,0.0059883725,911651000000.0,72,0.0,8456727,8.37228,6072
935.42,-0.009575497,-6714506.039562037,6379.168539762497,-4.9114227294921875e-05,0.00842359,857343660000.0,58,0.0,8509912,8.367268,6130
812.73,-0.009554657,-5099001.256758248,6422.496580839157,-6.389617919921875e-05,0.007164913,780264000000.0,82,0.0,8577162,8.376588,6212
881.13,-0.009983724,-6667499.444199703,6465.936527013779,2.0265579223632812e-06,0.007802554,776872000000.0,70,0.0,8639015,8.387773,6282
943.65,-0.009642389,-9447585.318208138,6510.175883054733,-1.728534698486328e-05,0.0086369505,215103400000.0,53,0.0,8696610,8.387864,6335
954.43,-0.009666497,-3952355.252104048,6580.770683526993,3.516674041748047e-06,0.0064049154,257112380000.0,73,0.0,8761534,8.384582,6408
936.53,-0.009746591,-2758749.237123524,6624.860562086105,2.3245811462402344e-06,0.00685153,449388200000.0,68,0.0,8827495,8.395523,6476
987.41,-0.009135769,-3200725.877471021,6668.521713972092,-1.6689300537109375e-06,0.008512677,791446900000.0,61,0.0,8890147,8.396839,6537
931.21,-0.010689749,-4775807.904190689,6712.287234783173,-3.504753112792969e-05,0.0077033225,107162340000.0,64,0.0,8950349,8.401107,6601
988.34,-0.008727244,-3565237.0592000717,6755.775626897812,2.384185791015625e-07,0.006122147,1014164400000.0,61,0.0,9008161,8.402603,6662
970.34,-0.007913492,-4674061.0071989605,6799.23002409935,3.5762786865234375e-07,0.009737986,847798400000.0,62,0.0,9067416,8.40091,6724
1037.73,-0.008086013,-6751232.720469176,6874.976526498795,5.662441253662109e-06,0.011008203,672274450000.0,67,0.0,9134814,8.398713,6791
900.61,-0.009580258,-4580630.980850883,6918.085545539856,4.76837158203125e-07,0.007876835,242018070000.0,66,0.0,9191131,8.405262,6857
828.22,-0.008126608,-2731212.607766299,6961.299778699875,-6.759166717529297e-05,0.008706088,16625375000.0,67,0.0,9252308,8.411561,6924
945.05,-0.009055683,-3876092.5342609994,7004.838096857071,0.0,0.008584989,401075930000.0,70,0.0,9315884,8.4076805,6994
997.87,-0.0088033965,-3610704.5158244087,7082.712466955185,-1.1920928955078125e-07,0.007793316,315218070000.0,61,0.0,9378583,8.40706,7055
964.16,-0.010235858,-5070814.7660112465,7126.572427749634,-4.76837158203125e-07,0.005480093,1155549800000.0,66,0.0,9439661,8.4068,7121
906.47,-0.009112698,-8728628.983179018,7170.472153425217,-1.0728836059570312e-06,0.0072360327,5425460700.0,70,0.0,9501663,8.4079275,7191
820.88,-0.009378616,-3311662.2131708195,7251.677963018417,1.1324882507324219e-06,0.006269998,500124250000.0,80,0.0,9564041,8.408891,7271
861.63,-0.009261798,-1876622.9094650121,7295.781558513641,2.384185791015625e-07,0.008767375,229577260000.0,67,0.0,9622612,8.41589,7338
845.54,-0.009294963,-1844450.237452458,7339.700007915497,-4.649162292480469e-06,0.0064081494,259235560000.0,74,0.0,9684465,8.418153,7412
875.58,-0.010281277,-1849451.4503270937,7382.921476840973,-1.1920928955078125e-07,0.009215431,435624280000.0,63,0.0,9744680,8.416793,7475
894.15,-0.010218529,-2561212.4708798737,7462.14589381218,-1.1920928955078125e-07,0.008024964,56604545000.0,77,0.0,9810436,8.416424,7552
821.49,-0.009323797,-2003418.4082692894,7506.088515043259,6.556510925292969e-07,0.006818235,92263850000.0,73,0.0,9870600,8.420823,7625
768.64,-0.009603991,-2399776.438017631,7549.805451393127,-1.1563301086425781e-05,0.0060162246,88479720000.0,83,0.0,9935003,8.430406,7708
810.43,-0.009815446,-2666509.125707144,7625.853421449661,-0.0003254413604736328,0.006646384,399367440000.0,65,0.0,9991268,8.433437,7773
817.83,-0.009628344,-2400989.0195198064,7670.163005113602,-1.1920928955078125e-06,0.006722777,32929018000.0,67,0.0,10048072,8.439223,7840
835.66,-0.010778246,-3870104.280833295,7713.529155015945,0.0,0.0072852415,171909330000.0,79,0.0,10112014,8.44923,7919
731.21,-0.010227026,-746832.7807542412,7756.834835767746,-1.1920928955078125e-07,0.008563129,42932654000.0,86,0.0,10175668,8.461854,8005
734.2,-0.010160359,-1069868.620060838,7800.990981578827,2.980232238769531e-07,0.006634834,211830620000.0,82,0.0,10238865,8.466233,8087
736.54,-0.010624055,-1635948.622963415,7844.558197975159,5.960464477539063e-08,0.0066382857,2397937000000.0,78,0.0,10301771,8.469463,8165
770.42,-0.009539708,-8945608.563243244,7923.552716255188,-2.288818359375e-05,0.005779296,641730940000.0,78,0.0,10360004,8.4710655,8243
831.19,-0.010313723,-907384.3971520879,7967.818747282028,1.7285346984863281e-06,0.007019185,307292050000.0,73,0.0,10422800,8.46071,8316
750.62,-0.011045575,-1733637.7786601027,8012.248996734619,-1.430511474609375e-06,0.006610002,70560285000.0,79,0.0,10482224,8.459001,8395
781.05,-0.010469927,-2966346.8856671466,8055.736117839813,-1.1920928955078125e-07,0.007444302,400462900000.0,70,0.0,10543506,8.458877,8465
868.76,-0.009515296,-5603935.571728245,8129.05700302124,-3.4570693969726562e-06,0.0069044963,411539800000.0,78,0.0,10604617,8.460237,8543
848.62,-0.0098880725,-1200445.570183949,8173.225535154343,-1.1920928955078125e-06,0.007558101,21475320000.0,77,0.0,10672231,8.459789,8620
862.3,-0.00996113,-2026209.5635281021,8217.285784959793,-9.5367431640625e-07,0.0071698525,226647080000.0,61,0.0,10727271,8.47105,8681
870.69,-0.008660671,-4714413.974933747,8260.944551706314,0.0,0.006558348,1228202400000.0,79,0.0,10793885,8.476228,8760
811.56,-0.010206985,-2683486.506568147,8304.773226976395,1.2516975402832031e-06,0.007311351,280455300000.0,66,0.0,10850227,8.468594,8826
862.33,-0.009805459,-1372350.6247940138,8349.25765991211,0.0,0.0071641356,59150885000.0,73,0.0,10913804,8.474837,8899
713.18,-0.009794348,-2570947.6653249287,8393.47247838974,-1.430511474609375e-06,0.009091576,855232400000.0,80,0.0,10972113,8.481049,8979
748.63,-0.009477156,-3016543.5516695916,8465.82184934616,3.5762786865234375e-07,0.006544569,34633617000.0,83,0.0,11037955,8.483875,9062
906.41,-0.008068554,-1947519.4663529962,8510.871288061142,1.1920928955078125e-07,0.0074486444,613704500000.0,72,0.0,11103717,8.481174,9134
848.38,-0.0105581265,-2957095.264835332,8555.014328241348,0.0,0.006211563,2832634700000.0,67,0.0,11158609,8.483293,9201
873.31,-0.009489419,-13697171.17350454,8598.962707519531,4.76837158203125e-07,0.008436576,730666040000.0,65,0.0,11213407,8.485943,9266
847.61,-0.009935737,-3745455.999438566,8642.512308120728,4.172325134277344e-07,0.006194189,269011480000.0,79,0.0,11283421,8.4942465,9345
856.31,-0.010859216,-1371450.4576382127,8717.512154579163,5.960464477539063e-08,0.0067738425,1209808500000.0,75,0.0,11348457,8.500276,9420
696.86,-0.010171284,-6293335.64539731,8761.800632238388,-1.1920928955078125e-07,0.0061862227,388111560000.0,86,0.0,11407014,8.495362,9506
