TimeElapsed,loss_ent,loss_kl,TimestepsSoFar,loss_vf_loss,ev_tdlam_before,EpThisIter,EpisodesSoFar,loss_pol_surr,EpRewMean,EpLenMean,loss_pol_entpen
13473.029330253601,9.042662,0.004533907,19189077,5152091000000.0,-3.5762786865234375e-07,20,9405,-0.007141744,-95753230.08624317,2028.55,0.0
13504.282973527908,9.0444355,0.0042544724,19230057,1112622100000.0,-1.1920928955078125e-07,20,9425,-0.007470019,-82867051.66219969,2028.55,0.0
13535.662334918976,9.043705,0.0042464216,19271037,6426992000000.0,5.960464477539063e-08,20,9445,-0.0077286297,-61746311.92803546,2028.55,0.0
13566.49029493332,9.04967,0.0040926486,19312017,5359838000000.0,-1.1920928955078125e-07,20,9465,-0.0072590434,-60212146.78277611,2049.0,0.0
13597.775627613068,9.050672,0.0046736235,19352997,10549073000000.0,5.960464477539063e-08,20,9485,-0.008087447,-54804245.52561158,2049.0,0.0
13628.380987167358,9.0483885,0.003914374,19393977,4492671600000.0,0.0,20,9505,-0.008028546,-61312305.79729165,2049.0,0.0
13659.35477566719,9.046451,0.0041077547,19434957,2100706400000.0,-1.1920928955078125e-07,20,9525,-0.008143694,-61633709.13878441,2049.0,0.0
13690.55882692337,9.044859,0.0040815407,19475937,8192676300000.0,0.0,20,9545,-0.008370699,-60932217.53671895,2049.0,0.0
13721.34153008461,9.054966,0.0043149376,19516917,618195650000.0,0.0,20,9565,-0.0070600943,-47322667.17466321,2049.0,0.0
13753.237830877304,9.055325,0.004492224,19557897,1746016300000.0,0.0,20,9585,-0.0075359577,-43250835.48095655,2049.0,0.0
13784.101119041443,9.063448,0.0043797893,19598045,52717230000.0,-1.1920928955078125e-07,20,9605,-0.0070769256,-25974072.674323864,2040.68,0.0
13815.118765115738,9.060696,0.004466185,19639025,367824270000.0,0.0,20,9625,-0.006971116,-21032830.355098616,2040.68,0.0
13846.818129777908,9.064426,0.004659568,19680005,1763992900000.0,-2.384185791015625e-07,20,9645,-0.00780904,-15612031.05292607,2040.68,0.0
13878.144400835037,9.081149,0.0046400568,19720985,19623984000000.0,-1.1920928955078125e-07,20,9665,-0.0066645956,-46146436.61665804,2040.68,0.0
13909.390462398529,9.079326,0.0045152656,19761965,3509262500000.0,1.1920928955078125e-07,20,9685,-0.008061899,-48326278.71443007,2040.68,0.0
13940.646454572678,9.078829,0.0044904975,19803011,4150081400000.0,0.0,21,9706,-0.0072331936,-60235805.54993417,2029.17,0.0
13972.199098348618,9.084568,0.004280157,19843991,26887823000000.0,0.0,20,9726,-0.0073930277,-64924040.40836802,2029.17,0.0
14003.331002950668,9.079821,0.0044032396,19884971,18506737000000.0,-2.384185791015625e-07,20,9746,-0.007863356,-110292655.4823981,2029.17,0.0
14034.604477405548,9.08098,0.0045188074,19925951,617909200000.0,-2.384185791015625e-07,20,9766,-0.0071659624,-79403194.13856354,2029.17,0.0
14066.80147099495,9.091932,0.004149428,19966931,29992840000000.0,-1.1920928955078125e-07,20,9786,-0.007807846,-95055751.2327116,2029.17,0.0
14098.220438718796,9.093998,0.004514832,20007911,21728760000000.0,5.960464477539063e-08,20,9806,-0.007931755,-110486373.81917633,2049.0,0.0
14129.732246875763,9.10342,0.0042862506,20048136,2717657600000.0,1.1920928955078125e-07,20,9826,-0.00775808,-115000956.2484727,2041.45,0.0
14160.97793841362,9.106982,0.004842481,20089116,598274900000.0,-1.1920928955078125e-07,20,9846,-0.0077896477,-68367231.28767782,2041.45,0.0
14192.184977293015,9.117963,0.0047789747,20130096,6787143600000.0,0.0,20,9866,-0.0073910253,-76367412.88036723,2041.45,0.0
14223.384582996368,9.115217,0.004496829,20171076,16498633000000.0,0.0,20,9886,-0.0074295835,-54761654.69440746,2041.45,0.0
14255.449305772781,9.119219,0.0040597385,20212056,5652473700000.0,0.0,20,9906,-0.007601212,-54915128.08428625,2041.45,0.0
14287.218022823334,9.124422,0.0048236838,20253036,96387980000.0,0.0,20,9926,-0.0074124113,-47357818.03146179,2049.0,0.0
14319.520115852356,9.12898,0.0045005893,20294016,204425100000.0,0.0,20,9946,-0.0073681823,-47211062.45775172,2049.0,0.0
14351.060841798782,9.13641,0.0041141706,20334996,543364550000.0,0.0,20,9966,-0.007561636,-40522301.37844243,2049.0,0.0
14382.40173983574,9.13264,0.0042993696,20375976,1855144600000.0,0.0,20,9986,-0.0064655184,-41696588.752367795,2049.0,0.0
14413.698570013046,9.131551,0.004458532,20416956,23803023000000.0,0.0,20,10006,-0.008173093,-19563657.569083408,2049.0,0.0
14445.312174320221,9.140316,0.004149755,20457936,1676306200000.0,0.0,20,10026,-0.0072929575,-38630302.64435403,2049.0,0.0
14476.98127746582,9.143514,0.004358762,20498916,23824842000000.0,0.0,20,10046,-0.007506787,-64115122.1730784,2049.0,0.0
14508.437883615494,9.150515,0.004250227,20539896,10110992000000.0,0.0,20,10066,-0.007953098,-79688349.7032127,2049.0,0.0
14539.987976074219,9.1545,0.0046737967,20580876,3332721300000.0,1.1920928955078125e-07,20,10086,-0.006515567,-84341563.15450916,2049.0,0.0
14571.502539396286,9.162079,0.0036804266,20621856,3361943000000.0,0.0,20,10106,-0.007479931,-81234622.40144655,2049.0,0.0
14602.973217487335,9.160433,0.0040807705,20662836,68576125000.0,-1.1920928955078125e-07,20,10126,-0.007289725,-63630697.69845419,2049.0,0.0
14633.767537593842,9.161946,0.0040976526,20705290,361583300000.0,-1.1920928955078125e-07,21,10147,-0.007381183,-37829621.04322133,2043.25,0.0
14665.405788183212,9.165835,0.004389799,20746270,9912841000000.0,0.0,20,10167,-0.0076376805,-37445361.53284781,2043.25,0.0
14697.100111484528,9.178739,0.0041681654,20787250,7287429700000.0,0.0,20,10187,-0.0065454,-42031025.64215672,2043.25,0.0
14728.637895822525,9.179584,0.004368051,20826824,21511969000000.0,5.960464477539063e-08,20,10207,-0.008219438,-50673818.46196178,2029.19,0.0
14760.236923217773,9.174594,0.004458481,20867804,11664664000000.0,-1.1920928955078125e-07,20,10227,-0.0073876036,-82525598.2411034,2029.19,0.0
14791.522474527359,9.180905,0.0043005445,20908784,1682643400000.0,0.0,20,10247,-0.0070374296,-86884262.6569882,2034.94,0.0
14822.654396057129,9.179594,0.0049260696,20949764,7767755600000.0,-1.1920928955078125e-07,20,10267,-0.007100376,-86474623.4902164,2034.94,0.0
