loss_pol_entpen,loss_kl,loss_pol_surr,EpThisIter,TimestepsSoFar,TimeElapsed,loss_vf_loss,ev_tdlam_before,EpRewMean,EpisodesSoFar,loss_ent,EpLenMean
0.0,0.0028169472,-0.0071515185,49,39351117,29782.186776161194,35945240000000.0,-1.1920928955078125e-07,-154765182.67367736,36320,9.997375,1237.6
0.0,0.0034311041,-0.0065376367,41,39398396,29825.655667066574,49412127000000.0,1.1920928955078125e-07,-114679819.777542,36361,10.00182,1158.67
0.0,0.0034065489,-0.0060189627,53,39453857,29869.56807923317,46454534000000.0,0.0,-148180789.7792552,36414,10.005776,1101.02
0.0,0.0035657543,-0.0063079763,41,39502949,29913.02919983864,38704358000000.0,-2.384185791015625e-07,-150911303.32312527,36455,10.005708,1100.1
0.0,0.0035033254,-0.0067939614,34,39551928,29956.73534345627,11933793000000.0,1.1920928955078125e-07,-116567018.01290044,36489,10.00571,1257.66
0.0,0.0034206233,-0.0063977432,52,39605442,30000.667287826538,28869015000000.0,0.0,-87689957.8360097,36541,10.00713,1192.16
0.0,0.0037414604,-0.006668664,51,39661772,30043.73177742958,61574530000000.0,-1.1920928955078125e-07,-130930491.783953,36592,10.005383,1074.77
0.0,0.003367492,-0.007953969,50,39714614,30087.042924642563,31409821000000.0,1.0132789611816406e-06,-140247237.20390037,36642,10.010118,1073.19
0.0,0.0039045897,-0.0074614603,38,39758353,30131.48404932022,36535383000000.0,0.0,-110544421.52311222,36680,10.013375,1083.19
0.0,0.0039236825,-0.0056200963,35,39807871,30174.91028404236,78089110000000.0,-1.1920928955078125e-07,-139339202.12505037,36715,10.017489,1239.43
0.0,0.0034219474,-0.0072727557,48,39863690,30218.717566490173,58014984000000.0,0.0,-183052552.37524033,36763,10.017091,1269.3
0.0,0.0033365109,-0.0061972616,48,39914289,30262.060983657837,95172460000000.0,1.1920928955078125e-07,-228655371.30607736,36811,10.018851,1131.92
0.0,0.0038715082,-0.0069202776,36,39965342,30306.19684433937,82524350000000.0,0.0,-305613299.0742894,36847,10.020893,1196.66
0.0,0.0031527868,-0.006574716,43,40016594,30350.010110378265,47097170000000.0,-4.76837158203125e-07,-269140631.6626022,36890,10.022183,1234.19
0.0,0.0027781413,-0.006821562,55,40071989,30393.64656853676,58088564000000.0,0.0,-121048170.50211394,36945,10.026376,1107.45
0.0,0.0037736446,-0.007107943,45,40120372,30436.921617746353,91697290000000.0,-1.1920928955078125e-07,-172677321.20781955,36990,10.026828,1037.78
0.0,0.0033252055,-0.0068110013,43,40170111,30481.214968442917,87683050000000.0,0.0,-217934795.50623348,37033,10.028647,1106.74
0.0,0.0021474923,-0.0058981236,45,40218474,30525.937640190125,76641730000000.0,0.0,-213035715.02025008,37078,10.028614,1095.33
0.0,0.0024461464,-0.006163331,47,40273917,30569.996088266373,74901660000000.0,0.0,-217785676.17200786,37125,10.031261,1129.75
0.0,0.0029908752,-0.006862657,57,40327020,30613.870277404785,57069726000000.0,0.0,-200851201.1173036,37182,10.034039,1041.2
0.0,0.0031647403,-0.007815171,43,40376552,30657.72873544693,18107844000000.0,1.1920928955078125e-07,-114804948.53336647,37225,10.036449,1026.35
0.0,0.0034170323,-0.0073136077,52,40427975,30701.908043384552,53914225000000.0,1.1920928955078125e-07,-91029000.97939694,37277,10.032299,1063.93
0.0,0.0030179184,-0.0071670054,46,40479048,30745.244872808456,56115153000000.0,5.960464477539063e-08,-128917799.6941064,37323,10.035941,1029.78
0.0,0.0028234601,-0.0056709256,55,40527162,30788.806198835373,68460554000000.0,0.0,-146142589.55923936,37378,10.035664,988.43
0.0,0.0025465875,-0.0063178395,44,40580226,30832.400099277496,80336460000000.0,0.0,-194316563.55443245,37422,10.036765,1012.72
0.0,0.0032833472,-0.0076497053,45,40630728,30875.900982379913,27488010000000.0,1.1920928955078125e-06,-155883609.46880862,37467,10.046246,1151.99
0.0,0.0035827726,-0.007836819,40,40680494,30919.88504385948,16858556000000.0,0.0,-78124842.59172918,37507,10.053802,1193.27
0.0,0.0029445144,-0.005727608,55,40728946,30965.323887586594,41982350000000.0,0.0,-65646706.174690306,37562,10.060241,1047.5
0.0,0.0032164936,-0.0065044854,43,40783811,31010.003113031387,51629705000000.0,1.1920928955078125e-07,-129589186.74844101,37605,10.061563,1057.07
0.0,0.0036663907,-0.0055075693,44,40835341,31055.16316461563,42324453000000.0,0.0,-120551521.77664904,37649,10.056853,1205.19
0.0,0.002689572,-0.0065591866,39,40885141,31098.465888738632,51414540000000.0,1.1920928955078125e-07,-129940510.1704246,37688,10.061587,1234.88
0.0,0.0028988481,-0.0073567093,46,40933965,31142.006353855133,25972290000000.0,-7.152557373046875e-07,-151919889.00592074,37734,10.065774,1210.12
0.0,0.0023472642,-0.005980391,58,40988200,31185.840996980667,61056865000000.0,4.172325134277344e-07,-120288489.10291451,37792,10.068788,986.7
0.0,0.0026078285,-0.006345563,50,41036738,31229.52205133438,19640082000000.0,0.0,-113384227.06077908,37842,10.071958,940.56
0.0,0.0033238155,-0.0064389105,44,41094780,31273.31056547165,36218885000000.0,0.0,-94407811.9273587,37886,10.072602,1118.0
0.0,0.003300668,-0.0068614795,41,41149833,31316.88654732704,29133910000000.0,3.5762786865234375e-07,-129393649.76098555,37927,10.068875,1290.83
0.0,0.0029035762,-0.006793765,37,41193517,31361.763191461563,29211930000000.0,0.0,-88725867.47575793,37964,10.060151,1289.39
0.0,0.0049279146,-0.0059800954,38,41244924,31405.375150442123,23738680000000.0,0.0,-124030186.04220577,38002,10.061268,1294.37
0.0,0.0029696345,-0.00679052,51,41289749,31449.843159914017,22602995000000.0,0.0,-77638000.66643776,38053,10.058849,1101.36
0.0,0.0026403184,-0.0068373177,61,41348400,31494.694202423096,44967364000000.0,0.0,-79696043.1961762,38114,10.061038,930.39
0.0,0.0027052034,-0.0068404973,62,41398544,31538.643419981003,36979250000000.0,1.7881393432617188e-07,-105806943.86953655,38176,10.05899,847.24
0.0,0.003496729,-0.006730931,60,41451933,31582.311920166016,52755490000000.0,-1.1920928955078125e-07,-103745271.28252444,38236,10.061341,822.16
0.0,0.0030050483,-0.0064791497,50,41498679,31626.414973974228,34705825000000.0,-1.1920928955078125e-07,-77243239.2717593,38286,10.06831,911.96
0.0,0.0032700328,-0.00621804,50,41554438,31670.427565336227,35413370000000.0,2.384185791015625e-07,-100565308.81064613,38336,10.0705595,1025.05
0.0,0.003155275,-0.0057171006,51,41610049,31714.776234149933,36863380000000.0,0.0,-105184601.40393664,38387,10.075503,1111.31
0.0,0.0033602428,-0.0070856838,43,41659160,31760.382860422134,9622237000000.0,0.0,-77613063.35065165,38430,10.081554,1079.58
0.0,0.0029509768,-0.0067990683,44,41705179,31804.64984178543,14941797000000.0,5.960464477539063e-08,-40966514.19794963,38474,10.086404,1081.74
0.0,0.0039189816,-0.004765539,41,41757461,31848.46921491623,11064057000000.0,5.960464477539063e-08,-58872514.676945925,38515,10.09183,1139.31
0.0,0.003046079,-0.006794763,45,41808681,31892.90518307686,14833013000000.0,0.0,-52542334.25540843,38560,10.095885,1199.18
0.0,0.0024520596,-0.006182325,55,41860714,31937.219730377197,5818097300000.0,0.0,-30567098.004051972,38615,10.09711,1032.53
0.0,0.002779731,-0.006780969,48,41917224,31981.607536554337,6508911000000.0,1.1920928955078125e-07,-31612296.71996447,38663,10.09851,1038.76
0.0,0.0023939451,-0.0067979614,45,41963130,32025.668199539185,257150060000.0,-4.291534423828125e-06,-32143813.959151063,38708,10.100883,1109.72
0.0,0.0028914893,-0.006509111,50,42014966,32069.972003221512,7385661300000.0,0.0,-11987793.93776351,38758,10.105332,1028.69
0.0,0.0032616036,-0.007644062,63,42068394,32113.509917259216,332615800000.0,0.0,-15571664.02396488,38821,10.105374,947.31
0.0,0.0029847817,-0.007620494,70,42121928,32157.801486492157,4998320000000.0,0.0,-12759436.513295677,38891,10.104432,777.92
0.0,0.0035968036,-0.0050723637,50,42167167,32201.177795171738,16235266000000.0,0.0,-38580038.83774089,38941,10.103087,855.13
0.0,0.00268323,-0.006713345,57,42217683,32244.027126073837,5990593000000.0,0.0,-44022876.77592213,38998,10.107667,868.24
0.0,0.0026518863,-0.006851586,53,42272876,32287.05958008766,22791190000000.0,0.0,-45196600.56742839,39051,10.109048,947.59
0.0,0.0028855633,-0.0069584306,63,42325448,32329.754992723465,3022484700000.0,-1.1920928955078125e-07,-36595538.40743792,39114,10.109494,880.26
0.0,0.002929014,-0.006218206,57,42375173,32372.467667102814,9523372000000.0,0.0,-9342953.178937951,39171,10.110444,865.56
0.0,0.0026280303,-0.0067177736,54,42429254,32415.168526172638,10472935000000.0,0.0,-45676243.77171074,39225,10.114277,936.06
0.0,0.0032001818,-0.0071173306,52,42482680,32457.585584640503,3032512000.0,0.0,-41645250.20774051,39277,10.123618,1020.36
0.0,0.003346438,-0.006689057,61,42528165,32499.838507413864,8085187000000.0,0.0,-1371590.7532715844,39338,10.122161,888.5
0.0,0.0028770887,-0.0068527823,54,42582138,32542.46563100815,7902660000000.0,0.0,-22578084.43213954,39392,10.123852,917.87
0.0,0.0027536554,-0.0076553524,64,42626589,32586.55259490013,424014000000.0,0.0,-24467330.138783403,39456,10.124728,814.74
0.0,0.002877885,-0.0069460184,52,42683349,32628.847453594208,20752435000000.0,1.1920928955078125e-07,-19816682.973574996,39508,10.125184,896.35
0.0,0.0024054325,-0.005918746,54,42733076,32671.743837356567,557461540000.0,1.1920928955078125e-07,-28347666.909888167,39562,10.128634,996.74
0.0,0.002838636,-0.0066005946,59,42784049,32715.13704919815,4637467300000.0,0.0,-10663184.063428817,39621,10.136416,864.91
0.0,0.0029955825,-0.0070902943,60,42835959,32757.05970597267,3166214600000.0,-2.384185791015625e-07,-12398151.287930172,39681,10.141082,887.34
0.0,0.0032673806,-0.006992392,50,42881504,32799.8576130867,3656509000000.0,-2.0265579223632812e-06,-16625307.124886686,39731,10.146362,900.67
0.0,0.0027542256,-0.006817631,48,42934495,32842.75898528099,1040336550000.0,1.1920928955078125e-07,-16530702.63028469,39779,10.151071,1026.34
0.0,0.0030923104,-0.006341436,53,42985449,32884.92382860184,6509837700000.0,0.0,-9908494.732517986,39832,10.160249,1018.96
0.0,0.0022268347,-0.0059381686,63,43044024,32927.32403588295,21091374000000.0,1.1920928955078125e-07,-46305665.59553616,39895,10.171409,962.69
0.0,0.0024766254,-0.0057131546,58,43093603,32970.90158390999,10768341000000.0,0.0,-48042381.56430605,39953,10.1717415,838.91
0.0,0.0025555575,-0.0065375394,55,43146958,33013.63887190819,26192674000000.0,0.0,-65554144.4284603,40008,10.177066,882.98
0.0,0.0025448569,-0.0064728437,55,43192073,33057.23030114174,2949359300000.0,-1.1920928955078125e-07,-37902569.654665165,40063,10.180184,834.77
0.0,0.0028336984,-0.0066771084,54,43243568,33099.2573633194,15250663000000.0,0.0,-24951234.13482587,40117,10.18219,914.58
0.0,0.0030886456,-0.0070738806,69,43298971,33141.689615011215,6933354400000.0,0.0,-29034185.456038456,40186,10.184213,844.23
0.0,0.0030266535,-0.0073998333,62,43352706,33184.796681165695,1914613300000.0,-1.9073486328125e-06,-19320350.045446325,40248,10.177665,816.4
0.0,0.0026284151,-0.0070881248,52,43402541,33227.625338315964,7394502400000.0,2.980232238769531e-07,-9751241.944593115,40300,10.177127,910.14
0.0,0.0024305957,-0.007299772,66,43451316,33270.19394946098,1443664900000.0,-1.1920928955078125e-07,-22840728.28592008,40366,10.183902,809.45
0.0,0.002194799,-0.006409784,56,43496929,33312.49367189407,1344713300000.0,5.960464477539063e-08,-16999447.30648701,40422,10.185458,828.28
0.0,0.002886252,-0.007196499,59,43552382,33356.15716934204,4159647300000.0,-1.1920928955078125e-07,-12410979.754953878,40481,10.1900015,878.11
0.0,0.0029788276,-0.006091558,55,43602928,33398.985142469406,9891027000000.0,1.7881393432617188e-07,-27791536.499098673,40536,10.183249,928.1
0.0,0.0028765087,-0.0067629097,57,43652471,33441.760450839996,13739092000000.0,5.960464477539063e-08,-30460546.704703283,40593,10.183412,903.63
0.0,0.0027107752,-0.006568191,63,43708558,33485.42764830589,1599681900000.0,-1.1920928955078125e-07,-13836459.998626294,40656,10.189622,831.16
0.0,0.0025856614,-0.007544179,60,43756058,33528.52101302147,2676268000000.0,2.980232238769531e-07,-6102576.344474042,40716,10.196369,822.81
0.0,0.0027662974,-0.0067470074,65,43803379,33571.13717198372,149806370000.0,1.1920928955078125e-07,-6290309.561350631,40781,10.199798,721.5
0.0,0.0026074415,-0.007121495,58,43856301,33615.17057418823,3575821800.0,0.0,-2448779.005471805,40839,10.201455,839.07
0.0,0.002389244,-0.00691136,73,43907834,33658.267800331116,6538351000000.0,0.0,-732470.5166199842,40912,10.206715,693.6
0.0,0.0023402548,-0.0058544087,57,43960085,33701.0708694458,14992962000000.0,0.0,-34867981.31137767,40969,10.2108755,833.63
0.0,0.0024674514,-0.0060817446,48,44010639,33744.836750507355,19531989000000.0,-1.1920928955078125e-07,-55397722.6976859,41017,10.211396,958.39
0.0,0.0028015748,-0.006655046,71,44070441,33788.47216653824,4332648100000.0,-1.0728836059570312e-06,-25264759.10440178,41088,10.2181425,879.74
0.0,0.0033335108,-0.007063809,52,44117407,33831.30070614815,14012154000000.0,-2.384185791015625e-07,-33574439.49450986,41140,10.217652,873.63
0.0,0.0021030353,-0.0054311366,53,44171148,33873.81041264534,4863330600000.0,0.0,-33572837.638158105,41193,10.223103,987.83
0.0,0.0024858608,-0.0049312827,46,44211278,33916.61744308472,12688799000000.0,-1.1920928955078125e-07,-29255859.177186593,41239,10.224576,940.86
0.0,0.0028598309,-0.0056545017,48,44260440,33960.065583229065,1617159700000.0,0.0,-40931807.28297841,41287,10.230315,959.58
0.0,0.0025045278,-0.0068637584,66,44316348,34002.64887714386,3751070000000.0,5.960464477539062e-07,-19376119.042929046,41353,10.22752,880.74
